domain,metric,metric_label,candidate,score,domain_rank
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Dubformer,64.85337676752616,8
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IOL-Research,64.80562584265502,9
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CommandR-plus,64.65603334423315,10
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Mistral-Large,64.62289060414092,11
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-G,64.59012484447166,12
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Unbabel-Tower70B,64.05867635877401,13
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Aya23,63.52520119795799,14
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Llama3-70B,62.60242461234938,15
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IKUN,62.32557852514003,16
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Phi-3-Medium,61.86735979120748,17
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IKUN-C,61.66640370678958,18
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,NVIDIA-NeMo,61.61670946657708,19
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,AIST-AIRC,60.49438296745048,20
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CUNI-NL,58.36062846562894,21
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,MSLC,58.31450263596228,22
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Occiglot,55.37625953180276,23
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TSU-HITs,47.30272174064032,24
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CycleL,43.02884411987333,25
news,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CycleL2,43.02884411987333,25
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-W,35.41298636413327,1
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-A,34.94944823852816,2
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,34.92633271008208,3
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-B,34.70096469492826,4
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Dubformer,34.03468156985437,5
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Gemini-1.5-Pro,34.00322150915236,6
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Claude-3.5,33.65390910036905,7
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IOL-Research,33.56291714125544,8
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Mistral-Large,33.07299084610369,9
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-G,33.0583686399731,10
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Unbabel-Tower70B,32.8745980866371,11
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,GPT-4,32.6641769704329,12
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CommandR-plus,32.45146264548682,13
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Aya23,31.76805571666084,14
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IKUN,30.9742065473218,15
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Llama3-70B,30.137898591968906,16
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IKUN-C,29.786425922326888,17
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,NVIDIA-NeMo,29.556831777706787,18
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Phi-3-Medium,29.263899084598314,19
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,AIST-AIRC,28.692617227899795,20
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CUNI-NL,26.729951673316936,21
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,MSLC,26.70266679076552,22
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Occiglot,24.991089222813667,23
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TSU-HITs,20.097344730239364,24
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CycleL,13.218903708198322,25
news,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CycleL2,13.218903708198322,25
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Dubformer,64.36357454537344,1
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,64.32254137446418,2
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-A,63.56514569831048,3
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,GPT-4,63.55803439247993,4
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CommandR-plus,63.53116642400174,5
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Mistral-Large,63.4301478944872,6
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Unbabel-Tower70B,63.152813533554855,7
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-W,62.72794442217501,8
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TranssionMT,62.60113449403741,9
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-B,62.56461351534289,10
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IOL-Research,62.50762613259994,11
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Gemini-1.5-Pro,61.91484888887131,12
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Aya23,61.44698169044808,13
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-G,60.75531514968933,14
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IKUN,59.00136342479632,15
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Llama3-70B,58.81034117213227,16
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IKUN-C,58.75498086843614,17
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Phi-3-Medium,57.36799078474756,18
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CUNI-NL,57.31088989980705,19
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,AIST-AIRC,57.17931970031413,20
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,NVIDIA-NeMo,51.61540898715585,21
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,MSLC,49.800041380220506,22
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TSU-HITs,46.83381537716844,23
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Occiglot,42.83409927525239,24
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CycleL,35.80413637324374,25
social,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CycleL2,35.80413637324374,25
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Dubformer,41.203913071025184,1
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Claude-3.5,41.05306544132336,2
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-A,40.76286886380632,3
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,GPT-4,40.24007771624085,4
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CommandR-plus,39.761858825163166,5
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-W,39.74078387191989,6
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Mistral-Large,39.44890602540665,7
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IOL-Research,39.38887664512493,8
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,39.05559179245455,9
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Unbabel-Tower70B,39.01323724206024,10
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-B,38.95701319719744,11
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Gemini-1.5-Pro,38.55978555199094,12
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-G,38.07124669429399,13
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Aya23,37.98412791858832,14
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IKUN-C,35.84254941745219,15
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IKUN,35.51166716506102,16
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CUNI-NL,35.39031970143501,17
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,AIST-AIRC,34.857893009312974,18
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Llama3-70B,34.652318093572845,19
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Phi-3-Medium,33.46005415963815,20
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,NVIDIA-NeMo,29.09128319165125,21
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,MSLC,27.013863153192887,22
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TSU-HITs,25.66726813623687,23
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Occiglot,22.9224427002524,24
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CycleL,13.65883731753012,25
social,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CycleL2,13.65883731753012,25
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-W,71.36363579928016,1
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,GPT-4,70.833715002035,2
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-B,70.33882390456783,3
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TranssionMT,70.33650307006009,4
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Gemini-1.5-Pro,70.26476771321958,5
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,69.96500893353108,6
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Mistral-Large,69.663072881614,7
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IOL-Research,69.20541439871751,8
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-A,69.16870646213286,9
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CommandR-plus,68.99303924943993,10
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,ONLINE-G,68.94911976175233,11
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Aya23,68.44526850665066,12
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Unbabel-Tower70B,68.22998742118868,13
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Llama3-70B,68.0826139167374,14
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Dubformer,67.5795104159976,15
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IKUN,66.5859618832774,16
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Phi-3-Medium,66.23983989831743,17
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,NVIDIA-NeMo,66.0161245445654,18
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,IKUN-C,64.27634144080271,19
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,AIST-AIRC,64.19081540946756,20
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CUNI-NL,61.78449704081136,21
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,MSLC,59.36891556168499,22
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Occiglot,59.00302097468733,23
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CycleL,45.48225890657161,24
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,CycleL2,45.48225890657161,24
speech,char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,TSU-HITs,42.54937180706172,26
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-W,43.67615942413428,1
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,GPT-4,43.12660749266384,2
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Gemini-1.5-Pro,42.73001384104745,3
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-B,42.671591128118834,4
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,42.609989981183936,5
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Claude-3.5,42.02978363084805,6
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IOL-Research,40.93476095293817,7
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-G,40.66995265881445,8
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,ONLINE-A,40.56936450161519,9
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Mistral-Large,40.13427237405335,10
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Aya23,39.88439295900635,11
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CommandR-plus,39.72161352753732,12
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Unbabel-Tower70B,39.26905166486041,13
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Llama3-70B,38.89500424350837,14
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Dubformer,38.771844568920805,15
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IKUN,37.21493617439285,16
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Phi-3-Medium,35.96119547219483,17
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,NVIDIA-NeMo,35.4604004930977,18
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,IKUN-C,34.856504009494884,19
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CUNI-NL,34.31617817426358,20
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,AIST-AIRC,34.08711362575383,21
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,Occiglot,31.33043814877463,22
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,MSLC,28.54970352317769,23
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TSU-HITs,20.073893799565063,24
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CycleL,16.91077248217063,25
speech,word_1_4_f1,Wortbasierter 1–4-Gramm-F1,CycleL2,16.91077248217063,25
