metric,metric_label,pseudo_reference,candidate,score_human_reference,rank_human_reference,score_pseudo_reference,rank_pseudo_reference,rank_delta
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,IKUN-C,59.856487420798736,16,66.28051358672589,18,2
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,Phi-3-Medium,59.46415952666143,17,70.05477689751771,15,-2
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,AIST-AIRC,58.22243811973125,18,64.70873548584544,20,2
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,CUNI-NL,57.94497185456004,19,65.05422169467953,19,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,NVIDIA-NeMo,56.422098696426254,20,66.36926564414874,17,-3
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,MSLC,51.948667494365054,21,56.460275105904,21,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,Occiglot,47.63891747279259,22,54.23191674417647,22,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,TSU-HITs,45.811850996334094,23,50.74843273279301,23,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,CycleL,38.18901305752166,24,41.08664183039172,24,0
char_1_6_chrf_like,Zeichenbasierter 1–6-Gramm-F-Score,Claude-3.5,CycleL2,38.18901305752166,24,41.08664183039172,24,0
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,ONLINE-B,40.098588110386736,1,98.74857217690855,1,0
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,Claude-3.5,39.721223985666605,2,56.976910202005406,5,3
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,ONLINE-A,39.45092066774352,3,59.6727436660553,2,-1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,Dubformer,39.327317511641546,4,53.80251315696563,10,6
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,ONLINE-W,39.30324911011908,5,58.042698779692685,4,-1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,GPT-4,39.27638020509548,6,56.97010961241427,6,0
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,Mistral-Large,38.922542523691895,7,53.98907717762082,9,2
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,Gemini-1.5-Pro,38.91968225119179,8,55.883394921018095,7,-1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,CommandR-plus,38.77834003928995,9,53.25817273287641,11,2
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,IOL-Research,38.58934261264373,10,54.40092810042501,8,-2
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,Unbabel-Tower70B,38.4865215515189,11,53.09527904639111,12,1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,ONLINE-G,37.4818658060025,12,58.64063871596512,3,-9
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,Aya23,37.35705265528703,13,51.3140788244156,13,0
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,IKUN,35.12371238334547,14,47.09157012502842,15,1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,Llama3-70B,35.01313945500662,15,50.43629162235206,14,-1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,IKUN-C,34.801624268640374,16,43.99906399561178,17,1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,CUNI-NL,33.28075277602407,17,41.49442878813874,20,3
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,AIST-AIRC,33.19529714872952,18,42.04996234672956,19,1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,Phi-3-Medium,32.93384799089129,19,44.89039065742635,16,-3
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,NVIDIA-NeMo,30.551244555194245,20,42.33027810512235,18,-2
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,MSLC,26.384887621632085,21,31.49674479364116,22,1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,Occiglot,24.78824446358312,22,32.37841092075168,21,-1
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,TSU-HITs,23.336208420942896,23,28.32265218917775,23,0
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,CycleL,14.040200136417091,24,16.62935023146129,24,0
word_1_4_f1,Wortbasierter 1–4-Gramm-F1,TranssionMT,CycleL2,14.040200136417091,24,16.62935023146129,24,0
